Wall time,Step,Value
1534745411.832693,76558,0.10525042563676834
1534745412.114827,76567,0.10524055361747742
1534745416.055147,76691,0.10510624200105667
1534745417.400013,76734,0.10505983233451843
1534745424.393803,76955,0.1048228070139885
1534745429.563844,77115,0.10465209931135178
1534745433.470472,77239,0.10452122986316681
1534745437.756247,77375,0.10437402129173279
1534745438.873038,77410,0.10433543473482132
1534745448.807078,77725,0.103993721306324
1534745455.25028,77929,0.10377538949251175
1534745460.788474,78102,0.10359224677085876
1534745462.3794,78153,0.10353801399469376
1534745467.64679,78321,0.10335884988307953
1534745468.74587,78356,0.10332157462835312
1534745472.94219,78488,0.10318197309970856
1534745480.229729,78718,0.10294190049171448
1534745481.90876,78771,0.10288648307323456
1534745484.698945,78860,0.10279331356287003
1534745485.045298,78871,0.10278163850307465
1534745488.186566,78971,0.10267619043588638
1534745488.783604,78990,0.10265620052814484
1534745489.219237,79001,0.10264463722705841
1534745493.659107,79143,0.10249601304531097
1534745496.405444,79230,0.10240485519170761
1534745501.979631,79408,0.1022198423743248
1534745514.43145,79803,0.10180895030498505
1534745515.003828,79821,0.10179046541452408
1534745518.748623,79939,0.10166993737220764
1534745520.803046,80002,0.10160656273365021
1534745522.495139,80055,0.10155324637889862
1534745525.294744,80143,0.10146485269069672
1534745530.170952,80297,0.1013113409280777
1534745532.821127,80381,0.10122852027416229
1534745535.324447,80457,0.10115370154380798
1534745545.384402,80769,0.10084675997495651
1534745545.954683,80786,0.10083001852035522
1534745547.37098,80827,0.10078957676887512
1534745549.608535,80898,0.10071972012519836
1534745554.360703,81045,0.10057516396045685
1534745556.727209,81120,0.10050187259912491
1534745564.294272,81361,0.10026489943265915
1534745567.434186,81460,0.10016781091690063
1534745568.989016,81509,0.10011939704418182
1534745573.195201,81643,0.09998717904090881
1534745574.783982,81694,0.09993716329336166
1534745579.734761,81851,0.09978322684764862
1534745581.505942,81907,0.09972810000181198
1534745596.490615,82380,0.099270299077034
1534745599.371225,82471,0.09918298572301865
1534745599.980629,82490,0.09916479885578156
1534745604.34479,82629,0.09903210401535034
1534745605.294995,82659,0.0990033894777298
1534745606.544273,82699,0.09896531701087952
1534745611.631143,82861,0.09881071001291275
1534745611.75616,82865,0.09880693256855011
1534745616.106258,83000,0.09867900609970093
1534745627.139569,83350,0.09835073351860046
1534745628.301008,83387,0.09831652045249939
1534745633.0607,83538,0.09817779809236526
1534745634.376814,83580,0.09813948720693588
1534745634.627769,83588,0.09813224524259567
1534745634.81267,83594,0.09812676161527634
1534745635.946869,83630,0.09809409081935883
1534745636.068302,83634,0.09809048473834991
1534745638.54558,83712,0.09801947325468063
1534745640.759276,83783,0.09795510023832321
1534745641.133519,83795,0.09794420003890991
1534745641.803183,83816,0.09792512655258179
1534745649.517523,84057,0.09770635515451431
1534745649.580684,84059,0.09770452231168747
1534745655.641943,84253,0.0975293517112732
1534745656.170649,84269,0.09751500189304352
1534745658.844866,84354,0.09743832796812057
1534745673.223634,84810,0.09703268110752106
1534745673.825295,84829,0.09701615571975708
1534745681.190605,85060,0.09681519865989685
1534745682.910895,85115,0.09676750004291534
1534745708.846476,85939,0.09606923907995224
1534745711.274138,86013,0.09600714594125748
1534745712.493366,86051,0.09597522020339966
1534745713.670555,86089,0.0959433764219284
1534745714.143432,86104,0.09593083709478378
1534745714.863778,86127,0.09591163694858551
1534745715.168674,86137,0.09590333700180054
1534745716.769951,86188,0.09586076438426971
1534745722.840515,86381,0.09569969028234482
1534745723.442481,86400,0.09568382054567337
